setting,scale,ratio,checkpoint_kind,snr,metric1_changed_pred_B_acc,metric2_changed_pred_A_acc,metric3_unchanged_pred_A_acc
scale_1pct_ratio_10pct,1,10,best,50,5.9,82.9,90.2
scale_1pct_ratio_10pct,1,10,best,45,6.1,82.4,90.1
scale_1pct_ratio_10pct,1,10,best,40,5.8,82.7,90.1
scale_1pct_ratio_10pct,1,10,best,30,5.6,82.9,89.2
scale_1pct_ratio_10pct,1,10,best,25,5.1,82.7,88.4
scale_1pct_ratio_10pct,1,10,best,20,4.8,82.0,86.8
scale_1pct_ratio_10pct,1,10,best,15,4.5,80.2,84.2
scale_1pct_ratio_10pct,1,10,best,10,6.3,75.9,79.5
scale_1pct_ratio_10pct,1,10,best,8,7.1,74.0,77.0
scale_1pct_ratio_10pct,1,10,best,6,7.0,71.5,73.1
scale_1pct_ratio_10pct,1,10,best,4,7.6,68.1,68.9
scale_1pct_ratio_10pct,1,10,best,2,10.2,62.2,63.1
scale_1pct_ratio_10pct,1,10,best,0,12.1,54.9,55.9
scale_1pct_ratio_10pct,1,10,last,50,99.7,0.2,99.9
scale_1pct_ratio_10pct,1,10,last,45,99.7,0.2,99.9
scale_1pct_ratio_10pct,1,10,last,40,99.6,0.3,99.9
scale_1pct_ratio_10pct,1,10,last,30,91.4,6.8,99.1
scale_1pct_ratio_10pct,1,10,last,25,75.1,20.4,97.4
scale_1pct_ratio_10pct,1,10,last,20,49.4,39.9,93.7
scale_1pct_ratio_10pct,1,10,last,15,29.3,55.0,87.2
scale_1pct_ratio_10pct,1,10,last,10,17.1,62.6,78.0
scale_1pct_ratio_10pct,1,10,last,8,14.7,61.2,73.8
scale_1pct_ratio_10pct,1,10,last,6,12.5,60.1,68.5
scale_1pct_ratio_10pct,1,10,last,4,11.3,57.5,62.8
scale_1pct_ratio_10pct,1,10,last,2,11.0,52.7,55.8
scale_1pct_ratio_10pct,1,10,last,0,11.8,45.3,47.4
scale_1pct_ratio_20pct,1,20,best,50,10.6,78.4,92.9
scale_1pct_ratio_20pct,1,20,best,45,10.5,78.7,92.7
scale_1pct_ratio_20pct,1,20,best,40,10.4,78.5,92.7
scale_1pct_ratio_20pct,1,20,best,30,9.7,79.4,91.9
scale_1pct_ratio_20pct,1,20,best,25,9.2,79.3,91.0
scale_1pct_ratio_20pct,1,20,best,20,8.3,79.8,88.8
scale_1pct_ratio_20pct,1,20,best,15,7.9,78.1,84.6
scale_1pct_ratio_20pct,1,20,best,10,7.8,73.9,78.1
scale_1pct_ratio_20pct,1,20,best,8,8.0,70.8,75.0
scale_1pct_ratio_20pct,1,20,best,6,8.3,67.2,70.8
scale_1pct_ratio_20pct,1,20,best,4,8.6,64.1,65.7
scale_1pct_ratio_20pct,1,20,best,2,9.8,57.9,59.6
scale_1pct_ratio_20pct,1,20,best,0,11.2,51.1,51.8
scale_1pct_ratio_20pct,1,20,last,50,99.9,0.1,99.9
scale_1pct_ratio_20pct,1,20,last,45,99.9,0.1,99.9
scale_1pct_ratio_20pct,1,20,last,40,99.7,0.2,99.9
scale_1pct_ratio_20pct,1,20,last,30,92.9,5.1,99.1
scale_1pct_ratio_20pct,1,20,last,25,78.3,16.3,97.0
scale_1pct_ratio_20pct,1,20,last,20,54.5,33.9,91.9
scale_1pct_ratio_20pct,1,20,last,15,31.5,50.3,83.5
scale_1pct_ratio_20pct,1,20,last,10,17.6,56.0,70.8
scale_1pct_ratio_20pct,1,20,last,8,16.6,54.1,64.7
scale_1pct_ratio_20pct,1,20,last,6,14.0,50.3,57.4
scale_1pct_ratio_20pct,1,20,last,4,13.4,45.9,49.8
scale_1pct_ratio_20pct,1,20,last,2,13.5,39.8,41.3
scale_1pct_ratio_20pct,1,20,last,0,14.3,32.8,35.2
scale_1pct_ratio_30pct,1,30,best,50,14.2,75.3,93.2
scale_1pct_ratio_30pct,1,30,best,45,14.1,75.3,93.0
scale_1pct_ratio_30pct,1,30,best,40,13.8,75.3,92.9
scale_1pct_ratio_30pct,1,30,best,30,12.2,76.8,92.1
scale_1pct_ratio_30pct,1,30,best,25,10.8,77.4,90.8
scale_1pct_ratio_30pct,1,30,best,20,9.2,77.5,88.2
scale_1pct_ratio_30pct,1,30,best,15,8.0,77.0,84.0
scale_1pct_ratio_30pct,1,30,best,10,7.5,73.1,77.3
scale_1pct_ratio_30pct,1,30,best,8,8.0,69.9,73.2
scale_1pct_ratio_30pct,1,30,best,6,8.9,66.1,68.1
scale_1pct_ratio_30pct,1,30,best,4,9.5,60.3,62.1
scale_1pct_ratio_30pct,1,30,best,2,11.1,51.8,52.1
scale_1pct_ratio_30pct,1,30,best,0,13.0,37.9,38.2
scale_1pct_ratio_30pct,1,30,last,50,99.8,0.1,99.9
scale_1pct_ratio_30pct,1,30,last,45,99.8,0.1,99.9
scale_1pct_ratio_30pct,1,30,last,40,99.7,0.2,99.8
scale_1pct_ratio_30pct,1,30,last,30,92.3,5.4,98.4
scale_1pct_ratio_30pct,1,30,last,25,78.3,14.9,95.4
scale_1pct_ratio_30pct,1,30,last,20,56.9,28.8,90.4
scale_1pct_ratio_30pct,1,30,last,15,34.7,43.3,81.0
scale_1pct_ratio_30pct,1,30,last,10,20.5,50.3,69.8
scale_1pct_ratio_30pct,1,30,last,8,18.2,49.3,63.1
scale_1pct_ratio_30pct,1,30,last,6,16.9,46.8,56.4
scale_1pct_ratio_30pct,1,30,last,4,16.3,43.3,49.5
scale_1pct_ratio_30pct,1,30,last,2,15.5,36.3,40.7
scale_1pct_ratio_30pct,1,30,last,0,13.5,30.0,31.1
scale_1pct_ratio_40pct,1,40,best,50,14.6,71.2,92.1
scale_1pct_ratio_40pct,1,40,best,45,14.4,71.3,92.0
scale_1pct_ratio_40pct,1,40,best,40,14.1,71.6,91.7
scale_1pct_ratio_40pct,1,40,best,30,12.8,73.0,90.5
scale_1pct_ratio_40pct,1,40,best,25,11.4,74.2,89.2
scale_1pct_ratio_40pct,1,40,best,20,10.1,74.9,87.1
scale_1pct_ratio_40pct,1,40,best,15,8.9,74.7,83.7
scale_1pct_ratio_40pct,1,40,best,10,8.0,72.9,78.0
scale_1pct_ratio_40pct,1,40,best,8,8.4,70.9,75.2
scale_1pct_ratio_40pct,1,40,best,6,8.7,68.8,72.2
scale_1pct_ratio_40pct,1,40,best,4,9.2,65.5,67.3
scale_1pct_ratio_40pct,1,40,best,2,10.1,61.0,62.4
scale_1pct_ratio_40pct,1,40,best,0,11.0,56.6,56.4
scale_1pct_ratio_40pct,1,40,last,50,99.7,0.1,99.9
scale_1pct_ratio_40pct,1,40,last,45,99.7,0.1,99.9
scale_1pct_ratio_40pct,1,40,last,40,99.3,0.3,99.8
scale_1pct_ratio_40pct,1,40,last,30,91.7,5.3,98.2
scale_1pct_ratio_40pct,1,40,last,25,78.0,14.2,95.3
scale_1pct_ratio_40pct,1,40,last,20,56.2,28.3,88.8
scale_1pct_ratio_40pct,1,40,last,15,34.0,42.2,79.4
scale_1pct_ratio_40pct,1,40,last,10,20.6,48.7,66.0
scale_1pct_ratio_40pct,1,40,last,8,18.4,47.6,59.8
scale_1pct_ratio_40pct,1,40,last,6,17.1,44.8,52.7
scale_1pct_ratio_40pct,1,40,last,4,16.5,41.4,46.3
scale_1pct_ratio_40pct,1,40,last,2,16.4,37.3,41.0
scale_1pct_ratio_40pct,1,40,last,0,15.9,34.1,35.9
scale_1pct_ratio_50pct,1,50,best,50,18.7,64.7,88.9
scale_1pct_ratio_50pct,1,50,best,45,18.5,64.8,88.7
scale_1pct_ratio_50pct,1,50,best,40,18.0,65.2,88.4
scale_1pct_ratio_50pct,1,50,best,30,16.2,67.1,86.4
scale_1pct_ratio_50pct,1,50,best,25,14.3,68.5,85.0
scale_1pct_ratio_50pct,1,50,best,20,12.3,69.8,81.7
scale_1pct_ratio_50pct,1,50,best,15,10.8,69.0,77.0
scale_1pct_ratio_50pct,1,50,best,10,10.2,65.1,69.7
scale_1pct_ratio_50pct,1,50,best,8,10.2,62.8,66.0
scale_1pct_ratio_50pct,1,50,best,6,10.6,58.0,60.9
scale_1pct_ratio_50pct,1,50,best,4,11.8,52.4,54.1
scale_1pct_ratio_50pct,1,50,best,2,13.5,45.1,46.9
scale_1pct_ratio_50pct,1,50,best,0,15.0,38.9,39.9
scale_1pct_ratio_50pct,1,50,last,50,99.9,0.1,99.8
scale_1pct_ratio_50pct,1,50,last,45,99.8,0.1,99.8
