model,scale_pct,noise_ratio_pct,epoch,checkpoint_name,checkpoint_kind,changed_positions,train_subset_utterances,acc_em,acc_sc,acc_gen,loss_em,loss_sc,loss_gen,ntokens_em,ntokens_sc,ntokens_gen,nsentences_em,nsentences_sc,nsentences_gen
hubert_base_ls960,10,0,1,checkpoint1.pt,epoch,0,0,,,14.948,,,3.31,,,122495.0,,,7176.0
hubert_base_ls960,10,0,2,checkpoint2.pt,epoch,0,0,,,22.966,,,3.091,,,122495.0,,,7176.0
hubert_base_ls960,10,0,3,checkpoint3.pt,epoch,0,0,,,79.825,,,0.855,,,122495.0,,,7176.0
hubert_base_ls960,10,0,4,checkpoint4.pt,epoch,0,0,,,89.631,,,0.464,,,122495.0,,,7176.0
hubert_base_ls960,10,0,5,checkpoint5.pt,epoch,0,0,,,90.37,,,0.438,,,122495.0,,,7176.0
hubert_base_ls960,10,0,6,checkpoint6.pt,epoch,0,0,,,90.004,,,0.471,,,122495.0,,,7176.0
hubert_base_ls960,10,0,7,checkpoint7.pt,epoch,0,0,,,90.29,,,0.508,,,122495.0,,,7176.0
hubert_base_ls960,10,0,8,checkpoint8.pt,epoch,0,0,,,89.889,,,0.614,,,122495.0,,,7176.0
hubert_base_ls960,10,0,9,checkpoint9.pt,epoch,0,0,,,89.733,,,0.682,,,122495.0,,,7176.0
hubert_base_ls960,10,0,10,checkpoint10.pt,epoch,0,0,,,89.991,,,0.736,,,122495.0,,,7176.0
hubert_base_ls960,10,0,11,checkpoint11.pt,epoch,0,0,,,89.909,,,0.797,,,122495.0,,,7176.0
hubert_base_ls960,10,0,12,checkpoint12.pt,epoch,0,0,,,89.98,,,0.836,,,122495.0,,,7176.0
hubert_base_ls960,10,0,13,checkpoint13.pt,epoch,0,0,,,89.999,,,0.854,,,122495.0,,,7176.0
hubert_base_ls960,10,0,14,checkpoint14.pt,epoch,0,0,,,89.976,,,0.879,,,122495.0,,,7176.0
hubert_base_ls960,10,0,15,checkpoint15.pt,epoch,0,0,,,90.02,,,0.899,,,122495.0,,,7176.0
hubert_base_ls960,10,0,16,checkpoint16.pt,epoch,0,0,,,90.032,,,0.916,,,122495.0,,,7176.0
hubert_base_ls960,10,0,17,checkpoint17.pt,epoch,0,0,,,90.027,,,0.929,,,122495.0,,,7176.0
hubert_base_ls960,10,0,18,checkpoint18.pt,epoch,0,0,,,90.008,,,0.94,,,122495.0,,,7176.0
hubert_base_ls960,10,0,19,checkpoint19.pt,epoch,0,0,,,90.033,,,0.947,,,122495.0,,,7176.0
hubert_base_ls960,10,0,20,checkpoint20.pt,epoch,0,0,,,90.036,,,0.955,,,122495.0,,,7176.0
hubert_base_ls960,10,0,21,checkpoint21.pt,epoch,0,0,,,90.054,,,0.96,,,122495.0,,,7176.0
hubert_base_ls960,10,0,22,checkpoint22.pt,epoch,0,0,,,90.031,,,0.965,,,122495.0,,,7176.0
hubert_base_ls960,10,0,23,checkpoint23.pt,epoch,0,0,,,90.036,,,0.969,,,122495.0,,,7176.0
hubert_base_ls960,10,0,24,checkpoint24.pt,epoch,0,0,,,90.036,,,0.972,,,122495.0,,,7176.0
hubert_base_ls960,10,0,25,checkpoint25.pt,epoch,0,0,,,90.036,,,0.975,,,122495.0,,,7176.0
hubert_base_ls960,10,0,26,checkpoint26.pt,epoch,0,0,,,90.031,,,0.977,,,122495.0,,,7176.0
hubert_base_ls960,10,0,27,checkpoint27.pt,epoch,0,0,,,90.029,,,0.979,,,122495.0,,,7176.0
hubert_base_ls960,10,0,28,checkpoint28.pt,epoch,0,0,,,90.024,,,0.98,,,122495.0,,,7176.0
hubert_base_ls960,10,0,29,checkpoint_last.pt,last,0,0,,,90.028,,,0.981,,,122495.0,,,7176.0
hubert_base_ls960,10,10,1,checkpoint1.pt,epoch,17186,12027,8.588,10.788,14.936,3.634,3.456,3.31,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,2,checkpoint2.pt,epoch,17186,12027,11.533,16.164,22.852,3.512,3.252,3.094,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,3,checkpoint3.pt,epoch,17186,12027,6.459,74.025,78.625,4.341,1.078,0.907,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,4,checkpoint4.pt,epoch,17186,12027,3.613,87.554,89.058,4.538,0.638,0.55,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,5,checkpoint5.pt,epoch,17186,12027,4.946,87.554,89.804,4.638,0.61,0.504,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,6,checkpoint6.pt,epoch,17186,12027,8.146,83.836,89.211,4.228,0.745,0.54,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,7,checkpoint7.pt,epoch,17186,12027,15.117,76.411,89.27,3.85,1.02,0.538,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,8,checkpoint8.pt,epoch,17186,12027,27.092,63.72,88.491,3.211,1.628,0.584,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,9,checkpoint9.pt,epoch,17186,12027,46.73,43.908,87.475,2.044,2.833,0.703,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,10,checkpoint10.pt,epoch,17186,12027,71.401,21.582,86.204,1.125,4.645,0.86,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,11,checkpoint11.pt,epoch,17186,12027,90.417,6.156,85.701,0.468,6.708,0.992,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,12,checkpoint12.pt,epoch,17186,12027,97.37,1.635,84.812,0.186,8.895,1.146,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,13,checkpoint13.pt,epoch,17186,12027,99.156,0.57,85.809,0.085,9.462,1.152,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,14,checkpoint14.pt,epoch,17186,12027,99.721,0.198,85.888,0.042,10.403,1.197,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,15,checkpoint15.pt,epoch,17186,12027,99.837,0.134,86.102,0.027,10.744,1.217,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,16,checkpoint16.pt,epoch,17186,12027,99.901,0.087,86.221,0.019,11.126,1.237,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,17,checkpoint17.pt,epoch,17186,12027,99.924,0.07,86.173,0.015,11.438,1.259,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,18,checkpoint18.pt,epoch,17186,12027,99.93,0.052,86.354,0.014,11.434,1.27,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,19,checkpoint19.pt,epoch,17186,12027,99.959,0.035,86.329,0.011,11.663,1.285,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,20,checkpoint20.pt,epoch,17186,12027,99.953,0.041,86.395,0.01,11.708,1.293,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,21,checkpoint21.pt,epoch,17186,12027,99.971,0.029,86.352,0.009,11.901,1.303,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,22,checkpoint22.pt,epoch,17186,12027,99.953,0.047,86.396,0.009,11.995,1.307,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,23,checkpoint23.pt,epoch,17186,12027,99.971,0.029,86.283,0.008,12.133,1.317,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,24,checkpoint24.pt,epoch,17186,12027,99.971,0.029,86.395,0.008,12.077,1.317,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,25,checkpoint25.pt,epoch,17186,12027,99.977,0.023,86.359,0.007,12.142,1.322,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,26,checkpoint26.pt,epoch,17186,12027,99.988,0.012,86.36,0.007,12.164,1.325,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,27,checkpoint27.pt,epoch,17186,12027,99.994,0.006,86.346,0.007,12.207,1.327,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,28,checkpoint28.pt,epoch,17186,12027,99.994,0.006,86.353,0.007,12.219,1.329,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,10,29,checkpoint_last.pt,last,17186,12027,99.994,0.006,86.352,0.007,12.234,1.33,17186.0,17186.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,1,checkpoint1.pt,epoch,34291,12027,9.39,10.781,14.886,3.618,3.46,3.311,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,2,checkpoint2.pt,epoch,34291,12027,12.207,15.893,22.656,3.484,3.26,3.097,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,3,checkpoint3.pt,epoch,34291,12027,6.669,73.32,78.18,3.629,1.202,0.995,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,4,checkpoint4.pt,epoch,34291,12027,4.161,86.303,88.384,3.727,0.821,0.693,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,5,checkpoint5.pt,epoch,34291,12027,4.995,86.244,89.139,3.92,0.754,0.613,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,6,checkpoint6.pt,epoch,34291,12027,7.789,84.177,89.2,3.71,0.822,0.612,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,7,checkpoint7.pt,epoch,34291,12027,13.336,77.983,88.68,3.344,1.03,0.632,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,8,checkpoint8.pt,epoch,34291,12027,24.231,66.163,87.408,2.798,1.544,0.691,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,9,checkpoint9.pt,epoch,34291,12027,44.994,45.228,85.135,1.929,2.628,0.817,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,10,checkpoint10.pt,epoch,34291,12027,71.197,20.965,82.621,1.109,4.257,0.976,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,11,checkpoint11.pt,epoch,34291,12027,85.431,9.737,81.802,0.614,6.037,1.148,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,20,12,checkpoint12.pt,epoch,34291,12027,95.844,2.511,80.22,0.242,8.207,1.367,34291.0,34291.0,122495.0,12027.0,12027.0,7176.0
