setting,scale,ratio,checkpoint_kind,noise_type,snr,eval_subset,ER_exception_retention,EC_exception_correction,RR_rule_retention
scale_100pct_ratio_10pct,100,10,best,laplace_white,0,eval20pct,9.585029,58.362374,58.537161
scale_100pct_ratio_10pct,100,10,best,laplace_white,10,eval20pct,4.401558,83.849240,84.681622
scale_100pct_ratio_10pct,100,10,best,laplace_white,15,eval20pct,3.692857,88.013588,90.199883
scale_100pct_ratio_10pct,100,10,best,laplace_white,2,eval20pct,7.977275,65.991156,66.269610
scale_100pct_ratio_10pct,100,10,best,laplace_white,20,eval20pct,3.692857,90.069406,93.435777
scale_100pct_ratio_10pct,100,10,best,laplace_white,25,eval20pct,4.152634,90.508683,95.220239
scale_100pct_ratio_10pct,100,10,best,laplace_white,30,eval20pct,4.565555,90.552611,96.240634
scale_100pct_ratio_10pct,100,10,best,laplace_white,4,eval20pct,6.753155,72.474888,72.496870
scale_100pct_ratio_10pct,100,10,best,laplace_white,40,eval20pct,5.212757,90.139690,97.077796
scale_100pct_ratio_10pct,100,10,best,laplace_white,45,eval20pct,5.406039,90.025478,97.209566
scale_100pct_ratio_10pct,100,10,best,laplace_white,50,eval20pct,5.488037,89.922980,97.270534
scale_100pct_ratio_10pct,100,10,best,laplace_white,6,eval20pct,5.707676,77.306938,77.486413
scale_100pct_ratio_10pct,100,10,best,laplace_white,8,eval20pct,4.928691,80.575160,81.432945
scale_100pct_ratio_10pct,100,10,best,pink_gaussian,0,eval20pct,10.466512,54.025244,54.156314
scale_100pct_ratio_10pct,100,10,best,pink_gaussian,10,eval20pct,3.883211,87.413243,89.442044
scale_100pct_ratio_10pct,100,10,best,pink_gaussian,15,eval20pct,3.739714,90.022550,93.710133
scale_100pct_ratio_10pct,100,10,best,pink_gaussian,2,eval20pct,8.082701,65.423024,65.881184
scale_100pct_ratio_10pct,100,10,best,pink_gaussian,20,eval20pct,4.284417,90.502826,95.586047
scale_100pct_ratio_10pct,100,10,best,pink_gaussian,25,eval20pct,4.799836,90.344686,96.468444
scale_100pct_ratio_10pct,100,10,best,pink_gaussian,30,eval20pct,5.244970,90.051835,96.953238
scale_100pct_ratio_10pct,100,10,best,pink_gaussian,4,eval20pct,6.161595,74.715202,75.115216
scale_100pct_ratio_10pct,100,10,best,pink_gaussian,40,eval20pct,5.423610,90.013764,97.250867
scale_100pct_ratio_10pct,100,10,best,pink_gaussian,45,eval20pct,5.482180,89.952265,97.279384
scale_100pct_ratio_10pct,100,10,best,pink_gaussian,50,eval20pct,5.514394,89.914195,97.288562
scale_100pct_ratio_10pct,100,10,best,pink_gaussian,6,eval20pct,5.034117,80.900225,81.821042
scale_100pct_ratio_10pct,100,10,best,pink_gaussian,8,eval20pct,4.310774,84.806864,86.332348
scale_100pct_ratio_10pct,100,10,best,uniform_white,0,eval20pct,9.898381,53.963745,54.448698
scale_100pct_ratio_10pct,100,10,best,uniform_white,10,eval20pct,4.521627,83.023399,83.671389
