epoch,Test Acc,Memorization Acc,Self-Correction Acc
1,30.2,16.0,36.2
2,30.4,15.9,36.3
3,82.0,5.7,77.4
4,92.3,2.8,90.4
5,92.8,3.5,90.4
6,92.5,5.3,88.5
7,91.9,7.6,85.2
8,90.9,10.4,81.1
9,88.7,15.1,74.5
10,86.1,21.0,66.9
11,83.7,26.7,60.0
12,81.6,33.0,53.5
13,78.1,41.0,43.1
14,75.3,48.2,34.8
15,73.4,54.7,28.6
16,70.5,62.0,20.7
17,68.2,68.6,14.0
18,68.4,73.0,12.2
19,66.6,78.4,7.8
20,65.8,82.3,5.3
21,65.7,85.9,4.5
22,63.7,89.3,2.2
23,64.6,91.4,2.3
24,63.2,93.9,1.0
25,64.1,95.2,0.9
26,63.9,96.5,0.7
27,62.9,97.4,0.4
28,63.3,98.1,0.4
29,63.2,98.5,0.3
